INF377,Sistemas de Informacion Gerencial,4
1MAT04,Algebra matricial y geometria analitica,4.5
INF226,Desarrollo de Programas 1,3
INF388,Temas avanzados en Ing. Computadora 01,3.5
IND231,Ingenieria Economica,3.5
IEE229,Electronica Digital,3.75
INF617,Gestion de Proyectos de Software,3
INF309,Desarrollo de Videojuegos,3.5
IND251,Gestion y Direccion de Empresas,3.5
IEE240,Organizacion y Arquitectura de Computadoras,5
1FIS05,Laboratorio de fisica 2,0.5
1QUI01,Quimica 1,3.5
INF238,Redes de Computadoras,4
DER349,Derecho para Ingenieros Informaticos,3
TEL201,Teoria de Comunicaciones,4
EST218,Estadistica para Ingenieria,3.5
1FIS07,Laboratorio de fisica 3,0.4
1EST14,Experimentacion Numerica,2
1INF01,Fundamentos de programacion,3
INF291,Metodos y Procedimientos,3.5
1MAT05,Fundamentos de calculo,4.5
INF227,Desarrollo de Programas 2,3
1FIS01,Fundamentos de fisica,3.5
INF370,Calidad de Software,3
MAT237,Calculo Numerico,3.5
IND281,Investigacion Operativa 2,4
1LIN16,Trabajo academico,3
INF234,Modelos y Simulacion Empresarial,3.5
1FIS04,Fisica  2,4.5
INF274,Administracion de Sistemas Operativos y Base de Datos,4
IND290,Seguridad Integral,3
INF392,Proyecto de Tesis 2,4
INF008,Practica Supervisada Preprofesional,0.5
INF371,Inteligencia Artificial,4
INF282,Lenguaje de Programacion 2,5
INF342,Seminario de Informatica,3.5
1ING02,Dibujo en ingenieria,4.5
INF353,Administracion de Sistemas Operativos,4
1INF06,Estructura de datos y programacion metodica,4.5
1INF04,Arquitectura de Sistemas de Informacion Empresarial,3.5
1FIS06,Fisica  3,4.5
INF263,Algoritmia,3.75
IND275,Control de Gestion Industrial,4.5
INF245,Ingenieria de Software,4
INF250,Sistemas de Informacion 2,5
1MAT06,Calculo diferencial,4.5
1MAT09,Calculo aplicado,4.5
INF391,Proyecto de Tesis 1,2
INF369,Seguridad de Informacion,3
INF134,Estructuras discretas,4.5
1INF03,Analisis de Datos,3.5
INF246,Bases de datos,3.75
1FIS02,Fisica  1,4.5
CDR121,Ciencia etica y cristianismo,3.5
INF310,Teoria de grafos,3
INF295,Planeamiento Estrategico en Informatica,3.5
1MAT07,Calculo integral,4.5
INF340,Auditoria de Sistemas y Tecnologias de Informacion,3.5
INF144,Tecnicas de programacion,5
1LIN15,Comunicacion academica,3
INF357,Inteligencia de Negocios,3.5
1FIL01,Ciencia y filosofia,3
INF281,Lenguaje de Programacion 1,5
1INF02,Aprendizaje de Maquina,3.5
IND273,Investigacion Operativa 1,4
1FIS03,Laboratorio de fisica 1,0.5
1QUI02,Laboratorio de quimica 1,0.75
ING220,etica Profesional,2
INF239,Sistemas Operativos,4
INF378,Sistemas Expertos,4
INF389,Temas avanzados en Computacion,3
INF355,Seguridad Computacional,3
CDR123,Pensamiento cristiano y realidad social,3.5
INF273,Administracion de la Funcion Informatica,3.5
INF265,Aplicaciones de Ciencias de la Computacion,4
INF248,Sistemas de Informacion 1,5
1MAT08,Calculo en varias variables,4.5
INF320,Programacion en Dispositivos Moviles,3
INF372,Graficos en Computacion,4
1TE001,Ser humano y cristianismo en el siglo XXI,3.5
